category,movie_title,positive,neutral,negative
movies_theaters,Avatar,20.0,74.73684210526316,5.2631578947368425
movies_theaters,Avengers: Endgame,25.301204819277107,56.626506024096386,18.072289156626507
movies_theaters,Titanic,21.978021978021978,68.13186813186813,9.89010989010989
movies_theaters,Star Wars: Episode VII - The Force Awakens,30.0,70.0,0.0
movies_theaters,Avengers: Infinity War,27.848101265822784,56.962025316455694,15.189873417721518
movies_theaters,Jurassic World,30.232558139534884,53.48837209302326,16.27906976744186
movies_theaters,The Lion King,44.30379746835443,44.30379746835443,11.39240506329114
movies_theaters,The Avengers,41.1764705882353,49.01960784313726,9.803921568627452
movies_theaters,Furious 7,47.61904761904762,33.333333333333336,19.047619047619047
movies_theaters,Frozen II,37.5,60.416666666666664,2.0833333333333335
